Year,Non-Industry Categories,Lobbying Expenditures,Total Non-Industry Specific Expenditures,Total Federal Lobbying Expenditures,Percent Non-Industry Specific,Non.Industry.Specific.Shift.Share
1998,BusinessAssociations,45545243,280113622,1448167725,0.193426229,
1999,BusinessAssociations,45373416,282762128,1439330766,0.19645389,0.003027661
2000,BusinessAssociations,57029982,326382178,1556859521,0.20964138,0.01318749
2001,BusinessAssociations,46718229,350845546,1628513607,0.215439125,0.005797745
2002,BusinessAssociations,70966301,403012446,1823760774,0.220978788,0.005539664
2003,BusinessAssociations,74502198,448892964,2050361664,0.218933553,-0.002045235
2004,BusinessAssociations,89521465,489497349,2181092371,0.22442761,0.005494057
2005,BusinessAssociations,77206648,553490047,2432677038,0.227523028,0.003095418
2006,BusinessAssociations,105532299,574133010,2624987588,0.218718371,-0.008804657
2007,BusinessAssociations,87807945,599836041,2867114907,0.209212418,-0.009505954
2008,BusinessAssociations,130849128,689089131,3302264393,0.208671702,-0.000540716
2009,BusinessAssociations,184469015,752587723,3494868104,0.215340808,0.006669107
2010,BusinessAssociations,174122882,739433993,3500702521,0.211224458,-0.00411635
2011,BusinessAssociations,105410445,632488251,3314476339,0.190825997,-0.020398461
2012,BusinessAssociations,174515856,660582140,3295960432,0.200421745,0.009595748
2013,BusinessAssociations,110700777,619254040,3235788685,0.191376539,-0.009045205
2014,BusinessAssociations,164393413,664201478,3254991739,0.204056271,0.012679732
2015,BusinessAssociations,130376905,617425901,3224630109,0.191471853,-0.012584419
2016,BusinessAssociations,144503026,618425130,3155150420,0.196004959,0.004533107
2017,BusinessAssociations,137398020,661904796,3375743530,0.196076743,7.17834E-05
2018,BusinessAssociations,146704885,691301371,3459954937,0.199800686,0.003723943
2019,BusinessAssociations,125242466,706385980,3510816176,0.201202782,0.001402095
2020,BusinessAssociations,122776611,649479452,3530902786,0.183941471,-0.017261311
2021,BusinessAssociations,122950243,708547301,3776981481,0.187596181,0.00365471
2022,BusinessAssociations,132078961,765804873,4105268302,0.186541979,-0.001054202
1998,CivilServants,37209648,280113622,1448167725,0.193426229,
1999,CivilServants,42223988,282762128,1439330766,0.19645389,0.003027661
2000,CivilServants,47048684,326382178,1556859521,0.20964138,0.01318749
2001,CivilServants,51649877,350845546,1628513607,0.215439125,0.005797745
2002,CivilServants,60936418,403012446,1823760774,0.220978788,0.005539664
2003,CivilServants,70415760,448892964,2050361664,0.218933553,-0.002045235
2004,CivilServants,79817022,489497349,2181092371,0.22442761,0.005494057
2005,CivilServants,90027327,553490047,2432677038,0.227523028,0.003095418
2006,CivilServants,90811957,574133010,2624987588,0.218718371,-0.008804657
2007,CivilServants,96057275,599836041,2867114907,0.209212418,-0.009505954
2008,CivilServants,103723448,689089131,3302264393,0.208671702,-0.000540716
2009,CivilServants,106042729,752587723,3494868104,0.215340808,0.006669107
2010,CivilServants,105229498,739433993,3500702521,0.211224458,-0.00411635
2011,CivilServants,94980705,632488251,3314476339,0.190825997,-0.020398461
2012,CivilServants,86138491,660582140,3295960432,0.200421745,0.009595748
2013,CivilServants,82914138,619254040,3235788685,0.191376539,-0.009045205
